New Allocation
SG-F0101-11
SG-F0101-12
SG-F0101-13
SG-F0101-14
SG-F0101-21
SG-F0101-22
SG-F0101-23
SG-F0101-24
SG-F0101-31
SG-F0101-32
SG-F0101-33
SG-F0101-34
SG-F0101-41
SG-F0101-42
SG-F0101-43
SG-F0101-44
SG-F0101-51
SG-F0101-52
SG-F0101-53
SG-F0101-54
SG-F0102-11
SG-F0102-12
SG-F0102-13
SG-F0102-14
SG-F0102-21
SG-F0102-22
SG-F0102-23
SG-F0102-24
SG-F0102-31
SG-F0102-32
SG-F0102-33
SG-F0102-34
SG-F0102-41
SG-F0102-42
SG-F0102-43
SG-F0102-44
SG-F0102-51
SG-F0102-52
SG-F0102-53
SG-F0102-54
SG-F0103-11
SG-F0103-12
SG-F0103-13
SG-F0103-14
SG-F0103-21
SG-F0103-22
SG-F0103-23
SG-F0103-24
SG-F0103-31
SG-F0103-32
SG-F0103-33
SG-F0103-34
SG-F0103-41
SG-F0103-42
SG-F0103-43
SG-F0103-44
SG-F0103-51
SG-F0103-52
SG-F0103-53
SG-F0103-54
SG-F0104-11
SG-F0104-12
SG-F0104-13
SG-F0104-14
SG-F0104-21
SG-F0104-22
SG-F0104-23
SG-F0104-24
SG-F0104-31
SG-F0104-32
SG-F0104-33
SG-F0104-34
SG-F0104-41
SG-F0104-42
SG-F0104-43
SG-F0104-44
SG-F0104-51
SG-F0104-52
SG-F0104-53
SG-F0104-54
SG-F0105-11
SG-F0105-12
SG-F0105-13
SG-F0105-14
SG-F0105-21
SG-F0105-22
SG-F0105-23
SG-F0105-24
SG-F0105-31
SG-F0105-32
SG-F0105-33
SG-F0105-34
SG-F0105-41
SG-F0105-42
SG-F0105-43
SG-F0105-44
SG-F0105-51
SG-F0105-52
SG-F0105-53
SG-F0105-54
SG-F0106-11
SG-F0106-12
SG-F0106-13
SG-F0106-14
SG-F0106-21
SG-F0106-22
SG-F0106-23
SG-F0106-24
SG-F0106-31
SG-F0106-32
SG-F0106-33
SG-F0106-34
SG-F0106-41
SG-F0106-42
SG-F0106-43
SG-F0106-44
SG-F0106-51
SG-F0106-52
SG-F0106-53
SG-F0106-54
SG-F0201-11
SG-F0201-12
SG-F0201-13
SG-F0201-14
SG-F0201-21
SG-F0201-22
SG-F0201-23
SG-F0201-24
SG-F0201-31
SG-F0201-32
SG-F0201-33
SG-F0201-34
SG-F0201-41
SG-F0201-42
SG-F0201-43
SG-F0201-44
SG-F0201-51
SG-F0201-52
SG-F0201-53
SG-F0201-54
SG-F0201-61
SG-F0201-62
SG-F0201-63
SG-F0201-64
SG-F0201-71
SG-F0201-72
SG-F0201-73
SG-F0201-74
SG-F0202-11
SG-F0202-12
SG-F0202-13
SG-F0202-14
SG-F0202-21
SG-F0202-22
SG-F0202-23
SG-F0202-24
SG-F0202-31
SG-F0202-32
SG-F0202-33
SG-F0202-34
SG-F0202-41
SG-F0202-42
SG-F0202-43
SG-F0202-44
SG-F0202-51
SG-F0202-52
SG-F0202-53
SG-F0202-54
SG-F0202-61
SG-F0202-62
SG-F0202-63
SG-F0202-64
SG-F0202-71
SG-F0202-72
SG-F0202-73
SG-F0202-74
SG-F0202-81
SG-F0202-82
SG-F0202-83
SG-F0202-84
SG-F0203-11
SG-F0203-12
SG-F0203-13
SG-F0203-14
SG-F0203-21
SG-F0203-22
SG-F0203-23
SG-F0203-24
SG-F0203-31
SG-F0203-32
SG-F0203-33
SG-F0203-34
SG-F0203-41
SG-F0203-42
SG-F0203-43
SG-F0203-44
SG-F0203-51
SG-F0203-52
SG-F0203-53
SG-F0203-54
SG-F0203-61
SG-F0203-62
SG-F0203-63
SG-F0203-64
SG-F0203-71
SG-F0203-72
SG-F0203-73
SG-F0203-74
SG-F0203-81
SG-F0203-82
SG-F0203-83
SG-F0203-84
SG-F0204-11
SG-F0204-12
SG-F0204-13
SG-F0204-14
SG-F0204-21
SG-F0204-22
SG-F0204-23
SG-F0204-24
SG-F0204-31
SG-F0204-32
SG-F0204-33
SG-F0204-34
SG-F0204-41
SG-F0204-42
SG-F0204-43
SG-F0204-44
SG-F0204-51
SG-F0204-52
SG-F0204-53
SG-F0204-54
SG-F0204-61
SG-F0204-62
SG-F0204-63
SG-F0204-64
SG-F0204-71
SG-F0204-72
SG-F0204-73
SG-F0204-74
SG-F0204-81
SG-F0204-82
SG-F0204-83
SG-F0204-84
SG-F0205-11
SG-F0205-12
SG-F0205-13
SG-F0205-14
SG-F0205-21
SG-F0205-22
SG-F0205-23
SG-F0205-24
SG-F0205-31
SG-F0205-32
SG-F0205-33
SG-F0205-34
SG-F0205-41
SG-F0205-42
SG-F0205-43
SG-F0205-44
SG-F0205-51
SG-F0205-52
SG-F0205-53
SG-F0205-54
